city,type,code,hours,Container_s,Container_ml,liters,n_vectors,susc,exp,inf,y_rand,x_rand,y_cent,x_cent,y_scat,x_scat
Kisumu,house,K1,7.1,1,0,1,0,0,0,0,3.8135227061398345,3.403072945779064,3.8135227061398345,3.403072945779064,3.8135227061398345,3.403072945779064
Kisumu,house,K2,11.1,1,0,1,0,0,0,0,1.3939060387034858,1.5200061387165786,2.9599622431802657,1.8160495885349117,1.3939060387034858,1.5200061387165786
Kisumu,house,K3,9.2,2,0,2,4,4,0,0,2.9599622431802657,1.8160495885349117,3.236587506728569,3.2758876124984435,3.236587506728569,3.2758876124984435
Kisumu,house,K4,8.6,1,1,10,0,0,0,0,3.236587506728569,3.2758876124984435,1.9464248140327138,1.663098399253939,1.9464248140327138,1.663098399253939
Kisumu,house,K5,10.5,1,1,10,4,4,0,0,1.3405344008391151,4.108863339764962,1.3405344008391151,4.108863339764962,1.3405344008391151,4.108863339764962
Kisumu,house,K6,10.0,0,0,0,0,0,0,0,1.418710832708543,4.613269256468021,1.418710832708543,4.613269256468021,2.132570458149609,3.204430678379598
Kisumu,house,K7,10.0,1,0,1,0,0,0,0,2.132570458149609,3.204430678379598,2.132570458149609,3.204430678379598,3.5194745220784664,3.248736002898769
Kisumu,house,K8,10.9,0,0,0,0,0,0,0,3.5194745220784664,3.248736002898769,3.5194745220784664,3.248736002898769,2.1801151257589626,2.8408077047573697
Kisumu,house,K9,11.4,0,0,0,0,0,0,0,2.1801151257589626,2.8408077047573697,1.6468718621483671,2.116030548223046,2.440551088237646,2.3525646975614216
Kisumu,house,K10,11.4,0,0,0,0,0,0,0,1.6468718621483671,2.116030548223046,2.440551088237646,2.3525646975614216,3.6103815750469965,2.8518911912556555
Kisumu,house,K11,8.0,0,0,0,0,0,0,0,1.913893929905032,2.1361596116324297,3.027166067976754,1.6240905219367687,2.5329827848100797,4.262429918431965
Kisumu,house,K12,11.6,0,0,0,0,0,0,0,2.4501420796332396,3.4692207381885325,1.913893929905032,2.1361596116324297,3.631578217175861,1.4552709742876286
Kisumu,house,K13,10.4,0,0,0,0,0,0,0,3.409298844803969,2.755471843366019,2.4501420796332396,3.4692207381885325,3.2937148564161602,2.9046537361816234
Kisumu,house,K14,10.0,0,0,0,0,0,0,0,3.322134244565086,3.3247742947534706,3.6103815750469965,2.8518911912556555,3.568047583282823,1.3787878198315038
Kisumu,house,K15,8.7,0,0,0,0,0,0,0,3.2937148564161602,2.9046537361816234,3.409298844803969,2.755471843366019,2.1787565630022883,3.775342681555791
Kisumu,house,K16,10.3,0,0,0,0,0,0,0,3.361699662922975,3.469616965249412,3.322134244565086,3.3247742947534706,1.809214792307811,3.2555986337110276
Kisumu,house,K17,7.0,2,0,4,7,7,0,0,2.1787565630022883,3.775342681555791,2.5329827848100797,4.262429918431965,3.768889364106789,1.360449452915072
Kisumu,house,K18,11.5,0,0,0,0,0,0,0,3.442617113293968,1.780497005858423,3.631578217175861,1.4552709742876286,3.661489565581076,1.5300633439680287
Kisumu,house,K19,11.8,0,0,0,0,0,0,0,1.809214792307811,3.2555986337110276,3.2937148564161602,2.9046537361816234,1.5314803172277212,1.7434953536631779
Kisumu,house,K20,6.9,2,0,2,0,0,0,0,3.768889364106789,1.360449452915072,3.568047583282823,1.3787878198315038,1.9014498089420597,2.8383249405174182
Kisumu,house,K21,10.1,1,2,10,14,14,0,0,3.661489565581076,1.5300633439680287,3.361699662922975,3.469616965249412,4.002298915093079,1.852405953420053
Kisumu,house,K22,8.8,0,0,0,0,0,0,0,1.5314803172277212,1.7434953536631779,2.1787565630022883,3.775342681555791,2.347219676049668,1.883665801832382
Kisumu,house,K23,9.5,0,0,0,0,0,0,0,1.9014498089420597,2.8383249405174182,3.442617113293968,1.780497005858423,1.835578331641284,2.8451403620902496
Kisumu,house,K24,9.6,0,0,0,0,0,0,0,4.002298915093079,1.852405953420053,1.809214792307811,3.2555986337110276,2.6572325060944872,4.07659917242901
Kisumu,house,K25,7.4,5,0,9,5,5,0,0,2.347219676049668,1.883665801832382,3.768889364106789,1.360449452915072,1.74852146006262,2.6016669997766138
Kisumu,house,K26,11.2,0,0,0,0,0,0,0,1.835578331641284,2.8451403620902496,3.661489565581076,1.5300633439680287,3.570846096958501,4.292361210846537
Kisumu,house,K27,10.4,0,0,0,0,0,0,0,2.7690697482483766,3.193933489139037,1.5314803172277212,1.7434953536631779,3.57398811925545,3.704793275237642
Kisumu,house,K28,8.1,0,0,0,0,0,0,0,2.6572325060944872,4.07659917242901,1.9014498089420597,2.8383249405174182,2.328990893500893,1.5143871660448944
Kisumu,house,K29,6.8,1,0,1,0,0,0,0,1.74852146006262,2.6016669997766138,4.002298915093079,1.852405953420053,3.0281817346532294,2.2465470070696623
Kisumu,house,K30,11.6,0,0,0,0,0,0,0,2.2840469544986135,2.556577044337423,2.347219676049668,1.883665801832382,1.7204420063272945,2.339176228765817
Kisumu,house,K31,9.9,0,0,0,0,0,0,0,3.57398811925545,3.704793275237642,1.835578331641284,2.8451403620902496,1.4370559085967811,2.6299710022722325
Kisumu,house,K32,10.7,0,0,0,0,0,0,0,2.328990893500893,1.5143871660448944,2.7690697482483766,3.193933489139037,4.172687763333646,1.3257654163103771
Kisumu,house,K33,11.6,1,0,2,0,0,0,0,3.0281817346532294,2.2465470070696623,2.6572325060944872,4.07659917242901,3.546323182829154,2.406441082330107
Kisumu,house,K34,9.5,0,0,0,0,0,0,0,3.4085591264103963,1.9069660364792482,1.74852146006262,2.6016669997766138,1.984009555303289,5.196407748348986
Kisumu,house,K35,8.9,0,0,0,0,0,0,0,1.7204420063272945,2.339176228765817,2.2840469544986135,2.556577044337423,3.176205284551837,2.9141082884738254
Kisumu,house,K36,8.9,1,1,10,12,12,0,0,1.4370559085967811,2.6299710022722325,3.570846096958501,4.292361210846537,2.9097174212176093,1.1264002700598554
Kisumu,house,K37,10.6,1,0,2,0,0,0,0,4.172687763333646,1.3257654163103771,3.57398811925545,3.704793275237642,4.534197236476852,2.715861659053679
Kisumu,house,K38,10.4,1,0,1,6,6,0,0,3.546323182829154,2.406441082330107,2.328990893500893,1.5143871660448944,2.1450392913175182,3.2652637627754317
Kisumu,house,K39,7.8,0,0,0,0,0,0,0,1.984009555303289,5.196407748348986,3.4085591264103963,1.9069660364792482,1.4133774379036823,2.968020530041206
Kisumu,house,K40,10.1,0,0,0,0,0,0,0,3.3026175915305753,3.507665649239137,1.7204420063272945,2.339176228765817,1.4549129871651847,2.811795518159209
Kisumu,house,K41,7.0,0,0,0,0,0,0,0,3.176205284551837,2.9141082884738254,1.4370559085967811,2.6299710022722325,2.2405669047726415,4.619001780703071
Kisumu,house,K42,8.7,0,0,0,0,0,0,0,2.9097174212176093,1.1264002700598554,4.172687763333646,1.3257654163103771,3.851520510063607,2.1386790300296776
Kisumu,house,K43,6.9,0,0,0,0,0,0,0,2.6709986388440696,3.242858871173493,1.984009555303289,5.196407748348986,1.2854291646723977,3.5470865887463856
Kisumu,house,K44,9.4,0,0,0,0,0,0,0,2.1450392913175182,3.2652637627754317,3.3026175915305753,3.507665649239137,3.389293836282562,2.5502335962978036
Kisumu,house,K45,9.8,0,0,0,0,0,0,0,2.6888419074179155,3.302108307568554,3.176205284551837,2.9141082884738254,2.716678162477839,1.8803606650581215
Kisumu,house,K46,11.5,1,1,10,0,0,0,0,1.4133774379036823,2.968020530041206,2.9097174212176093,1.1264002700598554,3.3475904090237316,3.3019494795447213
Kisumu,house,K47,11.2,0,0,0,0,0,0,0,1.4549129871651847,2.811795518159209,2.6709986388440696,3.242858871173493,3.2061206239862168,2.751320120655571
Kisumu,house,K48,8.1,1,0,1,10,10,0,0,2.2405669047726415,4.619001780703071,4.534197236476852,2.715861659053679,4.391314691835667,3.712431611163927
Kisumu,house,K49,7.4,0,0,0,0,0,0,0,3.851520510063607,2.1386790300296776,2.1450392913175182,3.2652637627754317,1.0394464258089846,1.808071448668255
Kisumu,house,K50,7.6,2,1,10,7,7,0,0,1.2854291646723977,3.5470865887463856,1.4133774379036823,2.968020530041206,2.3350151396942156,4.455235255185441
Kisumu,house,K51,12.0,2,0,3,0,0,0,0,3.389293836282562,2.5502335962978036,1.4549129871651847,2.811795518159209,1.1796808176299873,2.575732114637723
Kisumu,house,K52,10.9,1,1,10,1,1,0,0,2.716678162477839,1.8803606650581215,2.2405669047726415,4.619001780703071,3.9153856719618205,1.6737594534649178
Kisumu,house,K53,11.3,1,0,2,0,0,0,0,3.2061206239862168,2.751320120655571,3.851520510063607,2.1386790300296776,2.718888900597429,2.2732631215202335
Kisumu,house,K54,11.0,7,3,10,15,15,0,0,1.0394464258089846,1.808071448668255,1.2854291646723977,3.5470865887463856,2.908331366610032,1.2356840405353209
