city,type,code,hours,Container_s,Container_ml,liters,n_vectors,susc,exp,inf
Ukunda,house,U1,8.5,1,1,10,0,0,0,0
Ukunda,house,U2,9.9,1,4,10,52,52,0,0
Ukunda,house,U3,6.7,0,0,0,0,0,0,0
Ukunda,house,U4,11.2,0,1,10,0,0,0,0
Ukunda,house,U5,11.2,0,2,10,0,0,0,0
Ukunda,house,U6,6.6,0,1,10,0,0,0,0
Ukunda,house,U7,7.5,0,1,10,8,8,0,0
Ukunda,house,U8,10.6,0,0,0,0,0,0,0
Ukunda,house,U9,12.0,0,0,0,0,0,0,0
Ukunda,house,U10,9.5,1,0,1,0,0,0,0
Ukunda,house,U11,11.8,1,1,10,0,0,0,0
Ukunda,house,U12,11.2,0,1,10,0,0,0,0
Ukunda,house,U13,11.8,0,0,0,0,0,0,0
Ukunda,house,U14,8.8,0,0,0,0,0,0,0
Ukunda,house,U15,7.3,0,0,0,0,0,0,0
Ukunda,house,U16,6.6,0,0,0,0,0,0,0
Ukunda,house,U17,6.6,2,1,10,0,0,0,0
Ukunda,house,U18,10.2,1,0,2,0,0,0,0
Ukunda,house,U19,9.5,0,1,10,0,0,0,0
Ukunda,house,U20,7.4,0,0,0,0,0,0,0
Ukunda,house,U21,10.1,0,0,0,0,0,0,0
Ukunda,house,U22,6.5,0,1,10,0,0,0,0
Ukunda,house,U23,11.1,0,0,0,0,0,0,0
Ukunda,house,U24,9.3,1,1,10,13,13,0,0
Ukunda,house,U25,6.9,0,0,0,0,0,0,0
Ukunda,house,U26,6.8,0,1,10,0,0,0,0
Ukunda,house,U27,10.3,0,0,0,0,0,0,0
Ukunda,house,U28,11.6,0,0,0,0,0,0,0
Ukunda,house,U29,7.8,2,5,10,10,10,0,0
Ukunda,house,U30,11.3,0,0,0,0,0,0,0
Ukunda,house,U31,11.4,1,1,10,0,0,0,0
Ukunda,house,U32,7.6,0,2,10,0,0,0,0
Ukunda,house,U33,9.4,0,3,10,6,5,0,1
Ukunda,house,U34,7.2,1,2,10,0,0,0,0
Ukunda,house,U35,10.4,0,0,0,0,0,0,0
Ukunda,house,U36,11.1,0,0,0,0,0,0,0
Ukunda,house,U37,7.5,1,0,3,0,0,0,0
Ukunda,house,U38,9.6,0,0,0,0,0,0,0
Ukunda,house,U39,9.4,0,0,0,0,0,0,0
Ukunda,house,U40,8.5,0,1,10,0,0,0,0
Ukunda,house,U41,8.8,1,0,1,0,0,0,0
Ukunda,house,U42,9.2,2,0,2,0,0,0,0
Ukunda,house,U43,6.6,0,2,10,0,0,0,0
Ukunda,house,U44,8.7,0,1,10,0,0,0,0
Ukunda,house,U45,7.6,0,0,0,0,0,0,0
Ukunda,house,U46,11.6,3,0,4,0,0,0,0
Ukunda,house,U47,9.1,1,0,2,0,0,0,0
Ukunda,house,U48,10.5,1,0,1,0,0,0,0
Ukunda,house,U49,11.8,0,2,10,10,10,0,0
Ukunda,house,U50,7.8,0,0,0,0,0,0,0
Ukunda,house,U51,8.6,0,0,0,0,0,0,0
Ukunda,house,U52,7.2,0,1,10,0,0,0,0
Ukunda,house,U53,11.1,1,0,4,0,0,0,0
Ukunda,house,U54,6.6,0,1,10,0,0,0,0
Ukunda,house,U55,8.1,1,1,10,0,0,0,0
Ukunda,house,U56,9.6,0,0,0,0,0,0,0
Ukunda,house,U57,10.5,0,0,0,0,0,0,0
Ukunda,house,U58,11.5,1,0,1,0,0,0,0
Ukunda,house,U59,7.7,1,1,10,0,0,0,0
Ukunda,house,U60,8.4,1,0,2,0,0,0,0
Ukunda,house,U61,10.3,0,1,10,0,0,0,0
Ukunda,house,U62,8.3,0,1,10,0,0,0,0
Ukunda,house,U63,9.6,0,2,10,0,0,0,0
Ukunda,house,U64,9.3,1,4,10,10,10,0,0
Ukunda,house,U65,8.6,0,1,10,0,0,0,0
Ukunda,house,U66,7.8,0,0,0,0,0,0,0
Ukunda,house,U67,11.2,0,3,10,33,33,0,0
Ukunda,house,U68,7.2,0,0,0,0,0,0,0
Ukunda,house,U69,9.7,1,1,10,0,0,0,0
Ukunda,house,U70,7.3,1,3,10,9,9,0,0
Ukunda,house,U71,11.4,1,1,10,21,21,0,0
Ukunda,house,U72,10.5,1,1,10,0,0,0,0
Ukunda,house,U73,9.8,2,1,10,0,0,0,0
Ukunda,house,U74,11.6,0,0,0,0,0,0,0
Ukunda,house,U75,10.3,0,3,10,13,13,0,0
Ukunda,house,U76,9.6,1,2,10,0,0,0,0
Ukunda,house,U77,8.9,2,1,10,0,0,0,0
Ukunda,house,U78,10.6,2,1,10,0,0,0,0
Ukunda,house,U79,10.8,0,0,0,0,0,0,0
Ukunda,house,U80,7.7,0,0,0,0,0,0,0
Ukunda,house,U81,10.8,4,1,10,31,31,0,0
Ukunda,house,U82,10.2,0,0,0,0,0,0,0
Ukunda,house,U83,9.2,1,1,10,0,0,0,0
Ukunda,house,U84,10.3,0,2,10,0,0,0,0
Ukunda,house,U85,7.7,1,2,10,0,0,0,0
Ukunda,house,U86,11.6,0,0,0,0,0,0,0
Ukunda,house,U87,7.3,0,2,10,6,6,0,0
Ukunda,house,U88,10.4,2,1,10,0,0,0,0
Ukunda,house,U89,11.2,0,0,0,0,0,0,0
Ukunda,house,U90,11.1,1,2,10,0,0,0,0
Ukunda,house,U91,10.4,1,1,10,0,0,0,0
Ukunda,house,U92,11.1,0,0,0,0,0,0,0
Ukunda,house,U93,11.0,0,0,0,0,0,0,0
Ukunda,house,U94,6.9,0,4,10,0,0,0,0
Ukunda,house,U95,7.6,0,2,10,0,0,0,0
Ukunda,house,U96,10.5,0,0,0,0,0,0,0
Ukunda,house,U97,11.5,1,3,10,0,0,0,0
Ukunda,house,U98,11.8,0,0,0,0,0,0,0
Ukunda,house,U99,7.6,2,0,3,0,0,0,0
Ukunda,house,U100,7.9,1,0,2,0,0,0,0
Ukunda,house,U101,6.9,0,1,10,0,0,0,0
Ukunda,house,U102,9.0,0,0,0,0,0,0,0
Ukunda,house,U103,7.6,1,1,10,0,0,0,0
Ukunda,house,U104,11.4,1,2,10,0,0,0,0
Ukunda,house,U105,11.6,0,1,10,0,0,0,0
Ukunda,house,U106,11.5,0,1,10,0,0,0,0
Ukunda,house,U107,10.5,0,1,10,0,0,0,0
Ukunda,house,U108,10.4,0,1,10,0,0,0,0
Ukunda,house,U109,7.5,1,2,10,0,0,0,0
Ukunda,house,U110,8.4,0,1,10,0,0,0,0
Ukunda,house,U111,9.9,0,0,0,0,0,0,0
Ukunda,house,U112,7.4,0,3,10,19,19,0,0
Ukunda,house,U113,10.2,0,0,0,0,0,0,0
Ukunda,house,U114,10.6,0,2,10,0,0,0,0
Ukunda,house,U115,11.6,0,2,10,0,0,0,0
Ukunda,house,U116,9.4,1,1,10,0,0,0,0
Ukunda,house,U117,8.4,2,0,4,0,0,0,0
Ukunda,house,U118,11.2,1,0,2,0,0,0,0
Ukunda,house,U119,7.1,0,3,10,0,0,0,0
Ukunda,house,U120,10.6,2,2,10,26,26,0,0
Ukunda,house,U121,8.3,1,2,10,10,10,0,0
Ukunda,house,U122,11.3,1,1,10,0,0,0,0
Ukunda,house,U123,8.9,0,0,0,0,0,0,0
Ukunda,house,U124,7.2,0,1,10,0,0,0,0
Ukunda,house,U125,11.9,1,3,10,0,0,0,0
Ukunda,house,U126,10.3,0,2,10,0,0,0,0
Ukunda,house,U127,10.3,0,1,10,0,0,0,0
Ukunda,house,U128,10.4,1,1,10,0,0,0,0
Ukunda,house,U129,8.0,0,0,0,0,0,0,0
Ukunda,house,U130,7.2,1,0,2,0,0,0,0
Ukunda,house,U131,7.1,0,0,0,0,0,0,0
Ukunda,house,U132,6.9,0,0,0,0,0,0,0
Ukunda,house,U133,11.2,1,1,10,0,0,0,0
Ukunda,house,U134,7.9,0,3,10,0,0,0,0
Ukunda,house,U135,7.9,0,0,0,0,0,0,0
Ukunda,house,U136,10.7,0,1,10,0,0,0,0
Ukunda,house,U137,9.1,2,0,3,35,35,0,0
Ukunda,house,U138,11.3,0,3,10,0,0,0,0
Ukunda,house,U139,10.3,0,0,0,0,0,0,0
Ukunda,house,U140,10.8,0,0,0,0,0,0,0
Ukunda,house,U141,10.7,1,0,1,0,0,0,0
Ukunda,house,U142,11.3,0,2,10,0,0,0,0
Ukunda,house,U143,11.4,2,1,10,0,0,0,0
Ukunda,house,U144,11.8,1,5,10,10,10,0,0
Ukunda,house,U145,8.3,0,3,10,0,0,0,0
Ukunda,house,U146,6.5,0,3,10,0,0,0,0
Ukunda,house,U147,11.3,0,0,0,0,0,0,0
Ukunda,house,U148,7.6,0,0,0,0,0,0,0
Ukunda,house,U149,8.2,1,2,10,8,8,0,0
Ukunda,house,U150,7.7,2,0,2,0,0,0,0
Ukunda,house,U151,6.6,0,0,0,0,0,0,0
Ukunda,house,U152,8.1,0,0,0,0,0,0,0
Ukunda,house,U153,10.4,0,1,10,0,0,0,0
Ukunda,house,U154,9.0,1,0,1,0,0,0,0
Ukunda,house,U155,7.1,0,3,10,0,0,0,0
Ukunda,house,U156,9.6,0,1,10,0,0,0,0
Ukunda,house,U157,8.9,1,1,10,10,10,0,0
Ukunda,house,U158,11.0,0,0,0,0,0,0,0
Ukunda,house,U159,11.7,0,0,0,0,0,0,0
Ukunda,house,U160,10.1,0,0,0,0,0,0,0
Ukunda,house,U161,11.0,3,0,3,35,35,0,0
Ukunda,house,U162,7.3,0,0,0,0,0,0,0
Ukunda,house,U163,11.4,1,1,10,15,15,0,0
Ukunda,house,U164,7.6,7,0,12,0,0,0,0
Ukunda,house,U165,9.1,0,0,0,0,0,0,0
Ukunda,house,U166,7.8,0,2,10,8,8,0,0
Ukunda,house,U167,8.6,1,2,10,0,0,0,0
Ukunda,house,U168,11.9,1,1,10,0,0,0,0
Ukunda,house,U169,11.8,1,2,10,3,3,0,0
Ukunda,house,U170,7.1,1,7,10,0,0,0,0
Ukunda,house,U171,9.5,2,0,2,6,6,0,0
Ukunda,house,U172,10.8,0,0,0,0,0,0,0
Ukunda,house,U173,6.5,0,4,10,0,0,0,0
Ukunda,house,U174,11.0,3,0,3,0,0,0,0
Ukunda,house,U175,10.9,0,0,0,0,0,0,0
Ukunda,house,U176,11.3,0,6,10,0,0,0,0
Ukunda,house,U177,7.5,0,0,0,0,0,0,0
Ukunda,house,U178,9.1,1,2,10,12,12,0,0
Ukunda,house,U179,10.9,1,2,10,15,15,0,0
Ukunda,house,U180,10.9,0,0,0,0,0,0,0
Ukunda,house,U181,9.4,0,0,0,0,0,0,0
