date,city,mean_t,rh,rainfall
2020-01-01,Ukunda,29.4,81.2,
2020-01-01,Kisumu,26.4,51.7,0.0
2020-01-02,Ukunda,29.2,80.5,
2020-01-02,Kisumu,25.9,54.4,0.0
2020-01-03,Ukunda,29.3,82.3,
2020-01-03,Kisumu,27.3,58.4,3.3
2020-01-04,Ukunda,29.6,80.1,
2020-01-04,Kisumu,26.0,54.2,0.0
2020-01-05,Ukunda,29.6,78.8,
2020-01-05,Kisumu,25.9,60.2,0.0
2020-01-06,Ukunda,29.9,77.7,
2020-01-06,Kisumu,23.5,75.6,71.1
2020-01-07,Ukunda,30.1,79.9,
2020-01-07,Kisumu,24.8,70.8,0.3
2020-01-08,Ukunda,30.0,77.1,
2020-01-08,Kisumu,25.8,65.3,0.0
2020-01-09,Ukunda,29.9,77.7,
2020-01-09,Kisumu,25.1,64.1,0.0
2020-01-10,Ukunda,29.9,78.1,
2020-01-10,Kisumu,25.2,66.9,0.0
2020-01-11,Ukunda,30.0,79.3,
2020-01-11,Kisumu,25.7,66.8,0.0
2020-01-12,Ukunda,30.0,77.2,
2020-01-12,Kisumu,23.2,73.1,2.3
2020-01-13,Ukunda,27.2,85.9,
2020-01-13,Kisumu,23.6,74.2,11.4
2020-01-14,Ukunda,28.6,78.2,
2020-01-14,Kisumu,23.7,75.1,4.1
2020-01-15,Ukunda,29.7,83.0,
2020-01-15,Kisumu,25.4,63.4,0.0
2020-01-16,Ukunda,27.4,85.4,
2020-01-16,Kisumu,25.6,62.7,0.0
2020-01-17,Ukunda,27.8,80.3,
2020-01-17,Kisumu,26.4,64.4,0.0
2020-01-18,Ukunda,28.1,80.8,
2020-01-18,Kisumu,26.0,65.0,0.0
2020-01-19,Ukunda,28.7,79.6,
2020-01-19,Kisumu,26.3,65.9,0.0
2020-01-20,Ukunda,29.1,79.3,
2020-01-20,Kisumu,26.2,64.7,0.0
2020-01-21,Ukunda,28.8,79.2,
2020-01-21,Kisumu,26.0,58.5,0.0
2020-01-22,Ukunda,28.4,78.8,
2020-01-22,Kisumu,26.3,62.1,0.0
2020-01-23,Ukunda,28.6,79.0,
2020-01-23,Kisumu,26.4,59.4,0.0
2020-01-24,Ukunda,29.1,80.6,
2020-01-24,Kisumu,25.0,62.9,0.0
2020-01-25,Ukunda,29.0,79.9,
2020-01-25,Kisumu,25.6,64.5,1.5
