County,Age,Male,Female,Total
Kisumu,0,5758,5764,11522
Kisumu,1,5627,5735,11362
Kisumu,2,5206,5347,10553
Kisumu,3,5376,5612,10988
Kisumu,4,5106,5255,10361
Kisumu,5,4739,4840,9579
Kisumu,6,4966,5096,10062
Kisumu,7,5019,5117,10136
Kisumu,8,4705,4793,9498
Kisumu,9,5011,5288,10299
Kisumu,10,5387,5298,10685
Kisumu,11,4629,5095,9724
Kisumu,12,5241,5712,10953
Kisumu,13,4959,5657,10616
Kisumu,14,4506,4977,9483
Kisumu,15,4303,4939,9242
Kisumu,16,4119,4784,8903
Kisumu,17,4383,5052,9435
Kisumu,18,4076,4769,8845
Kisumu,19,4712,5730,10442
Kisumu,20,4518,5921,10439
Kisumu,21,4568,5805,10373
Kisumu,22,4565,5871,10436
Kisumu,23,4956,6320,11276
Kisumu,24,4848,6144,10992
Kisumu,25,5512,6462,11974
Kisumu,26,4575,5604,10179
Kisumu,27,5088,5652,10740
Kisumu,28,4023,4427,8450
Kisumu,29,4184,4620,8804
Kisumu,30,5540,6051,11591
Kisumu,31,3758,3595,7353
Kisumu,32,4942,4949,9891
Kisumu,33,3628,3688,7316
Kisumu,34,3574,3477,7051
Kisumu,35,4400,3788,8188
Kisumu,36,3135,2671,5806
Kisumu,37,3275,2487,5762
Kisumu,38,2498,1979,4477
Kisumu,39,2742,2146,4888
Kisumu,40,3365,2619,5984
Kisumu,41,2502,1791,4293
Kisumu,42,2485,1792,4277
Kisumu,43,2036,1627,3663
Kisumu,44,1525,1186,2711
Kisumu,45,2276,1711,3987
Kisumu,46,1513,1108,2621
Kisumu,47,1604,1168,2772
Kisumu,48,1072,793,1865
Kisumu,49,1208,852,2060
Kisumu,50,1481,1256,2737
Kisumu,51,1000,825,1825
Kisumu,52,963,751,1714
Kisumu,53,790,636,1426
Kisumu,54,862,636,1498
Kisumu,55,880,685,1565
Kisumu,56,842,767,1609
Kisumu,57,770,837,1607
Kisumu,58,576,481,1057
Kisumu,59,666,602,1268
Kisumu,60,723,714,1437
Kisumu,61,509,469,978
Kisumu,62,451,411,862
Kisumu,63,408,393,801
Kisumu,64,343,312,655
Kisumu,65,424,427,851
Kisumu,66,248,283,531
Kisumu,67,364,407,771
Kisumu,68,188,131,319
Kisumu,69,242,241,483
Kisumu,70,329,396,725
Kisumu,71,203,201,404
Kisumu,72,152,165,317
Kisumu,73,125,135,260
Kisumu,74,144,129,273
Kisumu,75,111,130,241
Kisumu,76,89,121,210
Kisumu,77,97,106,203
Kisumu,78,54,64,118
Kisumu,79,52,97,149
Kisumu,80,81,136,217
Kisumu,81,38,67,105
Kisumu,82,26,61,87
Kisumu,83,47,51,98
Kisumu,84,27,65,92
Kisumu,85,37,61,98
Kisumu,86,23,29,52
Kisumu,87,28,49,77
Kisumu,88,13,16,29
Kisumu,89,21,39,60
Kisumu,90,12,32,44
Kisumu,91,3,12,15
Kisumu,92,9,11,20
Kisumu,93,0,8,8
Kisumu,94,9,7,16
Kisumu,95,3,13,16
Kisumu,96,2,7,9
Kisumu,97,3,4,7
Kisumu,98,2,4,6
Kisumu,99,1,5,6
Kisumu,100,1,11,12
Ukunda,0,1673,1667,3340
Ukunda,1,1582,1558,3140
