"","Site","Environment2","Date","Structure","n_s","n_m","n_l","p_xxx","p_s","p_m","p_l","p_sm","p_sl","p_ml","p_sml","p_ae_s","p_ae_m","p_ae_l","p_ae_sm","p_ae_sl","p_ae_ml","p_ae_sml","cover"
"1","Kisumu","Household",2020-10-06,"KA01045HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Kisumu","Household",2020-10-06,"KA01045HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Kisumu","Household",2020-10-06,"KA01045HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Kisumu","Household",2020-10-06,"KA02046HL",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5","Kisumu","Household",2020-10-06,"KA03039HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Kisumu","Household",2020-10-06,"KA03039HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Kisumu","Household",2020-10-06,"KA03039HL",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Kisumu","Household",2020-10-07,"KA04022HL",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Kisumu","Household",2020-10-07,"KB05079HL",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Kisumu","Household",2020-10-08,"KB06128HL",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"11","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"12","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"13","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"15","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16","Kisumu","Household",2020-10-08,"KB06620HL",4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
