Environment,Container_type,Percentage,Day,Run_code
Both,both,0,0,pre15
Both,both,25,0,bpre25
Both,both,50,0,bpre50
Both,both,75,0,bpre75
Both,both,100,0,bpre100
Both,big,25,0,pre25
Both,big,50,0,pre50
Both,big,75,0,pre75
Both,big,100,0,pre100
Both,small,25,0,spre25
Both,small,50,0,spre50
Both,small,75,0,spre75
Both,small,100,0,spre100
Household,both,25,0,bpreHH25
Household,both,50,0,bpreHH50
Household,both,75,0,bpreHH75
Household,both,100,0,bpreHH100
Household,big,25,0,preHH25
Household,big,50,0,preHH50
Household,big,75,0,preHH75
Household,big,100,0,preHH100
Household,small,25,0,spreHH25
Household,small,50,0,spreHH50
Household,small,75,0,spreHH75
Household,small,100,0,spreHH100
Non-Household,both,25,0,bpreNH25
Non-Household,both,50,0,bpreNH50
Non-Household,both,75,0,bpreNH75
Non-Household,both,100,0,bpreNH100
Non-Household,big,25,0,preNH25
Non-Household,big,50,0,preNH50
Non-Household,big,75,0,preNH75
Non-Household,big,100,0,preNH100
Non-Household,small,25,0,spreNH25
Non-Household,small,50,0,spreNH50
Non-Household,small,75,0,spreNH75
Non-Household,small,100,0,spreNH100
