City,Environment,Container,Percentage,Day,Cases,caseslow95,casesup95,Household,HH_low95,HH_up95,Non_Household,NH_low95,NH_up95,pweeks_cases,pwk_low95,pwk_up95,weeks_cases,wk_low95,wk_up95,pweeks_HHcases,pwk_HHlow95,pwk_HHup95,weeks_HHcases,wk_HHlow95,wk_HHup95,pweeks_NHcases,pwk_NHlow95,pwk_NHup95,weeks_NHcases,wk_NHlow95,wk_NHup95
Kisumu,Both,both,0,0,690.5,304.2,1.464e3,268.5,109.0,625.5,365.0,146.0,862.0,0.8761904761904762,0.4380952380952381,0.9809523809523809,92.0,46.0,103.0,0.7714285714285715,0.3333333333333333,0.9809523809523809,81.0,35.0,103.0,0.780952380952381,0.3523809523809524,0.9809523809523809,82.0,37.0,103.0
Ukunda,Both,both,0,0,3.918e3,2.6e3,5.412e3,1.671e3,1.052e3,2.424e3,2.164e3,1.382e3,3.088e3,0.9809523809523809,0.9238095238095239,0.9809523809523809,103.0,97.0,103.0,0.9619047619047619,0.8571428571428571,0.9809523809523809,101.0,90.0,103.0,0.9619047619047619,0.8380952380952381,0.9714285714285714,101.0,88.0,102.0
Kisumu,Both,both,25,0,300.5,181.0,556.0,119.0,65.0,240.5,156.0,84.0,315.5,0.41904761904761906,0.2857142857142857,0.7047619047619048,44.0,30.0,74.0,0.3333333333333333,0.21904761904761905,0.6476190476190476,35.0,23.0,68.0,0.34285714285714286,0.22857142857142856,0.6571428571428571,36.0,24.0,69.0
Ukunda,Both,both,25,0,2.022e3,821.0,3.348e3,897.5,327.2,1.55e3,1.036e3,360.0,1.83e3,0.9809523809523809,0.8571428571428571,0.9809523809523809,103.0,90.0,103.0,0.9619047619047619,0.7904761904761904,0.9809523809523809,101.0,83.0,103.0,0.9619047619047619,0.7523809523809524,0.9714285714285714,101.0,79.0,102.0
Kisumu,Both,both,50,0,173.5,110.5,279.0,72.0,40.0,122.0,91.0,51.0,158.5,0.26666666666666666,0.2,0.38095238095238093,28.0,21.0,40.0,0.21904761904761905,0.1523809523809524,0.3047619047619048,23.0,16.0,32.0,0.20952380952380953,0.14285714285714285,0.3142857142857143,22.0,15.0,33.0
Ukunda,Both,both,50,0,277.5,108.5,779.0,135.0,52.0,368.0,109.5,29.0,381.5,0.44761904761904764,0.2571428571428571,0.7904761904761904,47.0,27.0,83.0,0.3904761904761905,0.2,0.7523809523809524,41.0,21.0,79.0,0.3333333333333333,0.14285714285714285,0.7142857142857143,35.0,15.0,75.0
Kisumu,Both,both,75,0,105.5,68.75,157.5,40.0,22.0,69.0,57.0,33.0,97.0,0.19047619047619047,0.13333333333333333,0.24761904761904763,20.0,14.0,26.0,0.12380952380952381,0.08571428571428572,0.2,13.0,9.0,21.0,0.14285714285714285,0.10476190476190476,0.20952380952380953,15.0,11.0,22.0
Ukunda,Both,both,75,0,71.0,38.0,146.8,44.0,26.0,83.0,15.0,0.0,61.0,0.17142857142857143,0.10476190476190476,0.26666666666666666,18.0,11.0,28.0,0.12380952380952381,0.08571428571428572,0.21904761904761905,13.0,9.0,23.0,0.0761904761904762,0.0,0.19047619047619047,8.0,0.0,20.0
Kisumu,Both,both,100,0,60.0,39.0,83.25,22.0,13.0,34.0,35.0,17.0,51.0,0.11428571428571428,0.08571428571428572,0.13333333333333333,12.0,9.0,14.0,0.06666666666666667,0.047619047619047616,0.08571428571428572,7.0,5.0,9.0,0.10476190476190476,0.08571428571428572,0.12380952380952381,11.0,9.0,13.0
Ukunda,Both,both,100,0,31.0,18.0,47.0,26.0,14.0,40.0,0.0,0.0,8.0,0.08571428571428572,0.06666666666666667,0.10476190476190476,9.0,7.0,11.0,0.06666666666666667,0.05714285714285714,0.09523809523809523,7.0,6.0,10.0,0.0,0.0,0.05714285714285714,0.0,0.0,6.0
Kisumu,Both,big,25,0,484.0,247.8,1.048e3,180.0,86.5,435.5,251.5,123.0,613.0,0.7047619047619048,0.3619047619047619,0.9809523809523809,74.0,38.0,103.0,0.6285714285714286,0.29523809523809524,0.9809523809523809,66.0,31.0,103.0,0.638095238095238,0.29523809523809524,0.9809523809523809,67.0,31.0,103.0
Ukunda,Both,big,25,0,2.53e3,1.279e3,3.946e3,1.112e3,517.0,1.822e3,1.336e3,618.5,2.174e3,0.9809523809523809,0.9047619047619048,0.9809523809523809,103.0,95.0,103.0,0.9714285714285714,0.8380952380952381,0.9809523809523809,102.0,88.0,103.0,0.9619047619047619,0.8095238095238095,0.9714285714285714,101.0,85.0,102.0
Kisumu,Both,big,50,0,360.5,216.8,725.0,138.5,76.75,293.0,197.0,104.0,423.5,0.4857142857142857,0.3142857142857143,0.8380952380952381,51.0,33.0,88.0,0.3904761904761905,0.24761904761904763,0.7714285714285715,41.0,26.0,81.0,0.4095238095238095,0.2571428571428571,0.7714285714285715,43.0,27.0,81.0
Ukunda,Both,big,50,0,1.048e3,212.5,2.218e3,450.0,87.0,1.013e3,502.0,71.0,1.214e3,0.9238095238095239,0.42857142857142855,0.9809523809523809,97.0,45.0,103.0,0.8380952380952381,0.34285714285714286,0.9809523809523809,88.0,36.0,103.0,0.819047619047619,0.3047619047619048,0.9714285714285714,86.0,32.0,102.0
Kisumu,Both,big,75,0,278.0,173.5,445.5,99.5,54.75,175.5,159.0,91.0,277.2,0.3619047619047619,0.26666666666666666,0.5428571428571428,38.0,28.0,57.0,0.3047619047619048,0.2,0.4666666666666667,32.0,21.0,49.0,0.3047619047619048,0.22857142857142856,0.4857142857142857,32.0,24.0,51.0
Ukunda,Both,big,75,0,224.5,89.0,625.0,100.5,40.0,281.5,96.5,24.0,321.2,0.3904761904761905,0.22857142857142856,0.7523809523809524,41.0,24.0,79.0,0.3142857142857143,0.17142857142857143,0.6761904761904762,33.0,18.0,71.0,0.2761904761904762,0.12380952380952381,0.6761904761904762,29.0,13.0,71.0
Kisumu,Both,big,100,0,193.5,124.5,297.0,69.0,37.0,114.5,113.5,63.75,190.2,0.2761904761904762,0.2,0.4,29.0,21.0,42.0,0.20952380952380953,0.14285714285714285,0.3047619047619048,22.0,15.0,32.0,0.23809523809523808,0.17142857142857143,0.34285714285714286,25.0,18.0,36.0
Ukunda,Both,big,100,0,66.5,32.0,126.5,34.5,18.0,64.0,20.5,0.0,61.0,0.17142857142857143,0.10476190476190476,0.26666666666666666,18.0,11.0,28.0,0.11428571428571428,0.06666666666666667,0.2,12.0,7.0,21.0,0.11428571428571428,0.0,0.21904761904761905,12.0,0.0,23.0
Kisumu,Both,small,25,0,344.5,211.5,633.0,148.5,80.75,287.5,175.0,93.75,356.5,0.47619047619047616,0.3238095238095238,0.7619047619047619,50.0,34.0,80.0,0.4,0.24761904761904763,0.7142857142857143,42.0,26.0,75.0,0.3904761904761905,0.2571428571428571,0.7047619047619048,41.0,27.0,74.0
Ukunda,Both,small,25,0,3.134e3,1.882e3,4.56e3,1.386e3,785.0,2.112e3,1.656e3,930.5,2.516e3,0.9809523809523809,0.9142857142857143,0.9809523809523809,103.0,96.0,103.0,0.9714285714285714,0.8571428571428571,0.9809523809523809,102.0,90.0,103.0,0.9619047619047619,0.8285714285714286,0.9714285714285714,101.0,87.0,102.0
Kisumu,Both,small,50,0,242.5,153.0,387.2,107.5,61.75,181.0,117.5,64.75,210.0,0.34285714285714286,0.24761904761904763,0.5142857142857142,36.0,26.0,54.0,0.29523809523809524,0.2,0.42857142857142855,31.0,21.0,45.0,0.26666666666666666,0.18095238095238095,0.42857142857142855,28.0,19.0,45.0
Ukunda,Both,small,50,0,2.562e3,1.339e3,3.906e3,1.156e3,566.0,1.846e3,1.316e3,630.5,2.106e3,0.9809523809523809,0.8857142857142857,0.9809523809523809,103.0,93.0,103.0,0.9714285714285714,0.8285714285714286,0.9809523809523809,102.0,87.0,103.0,0.9619047619047619,0.7904761904761904,0.9714285714285714,101.0,83.0,102.0
Kisumu,Both,small,75,0,184.0,121.75,280.8,84.0,50.0,138.2,88.0,46.0,147.5,0.26666666666666666,0.20952380952380953,0.37142857142857144,28.0,22.0,39.0,0.22857142857142856,0.1619047619047619,0.3238095238095238,24.0,17.0,34.0,0.20952380952380953,0.12380952380952381,0.29523809523809524,22.0,13.0,31.0
Ukunda,Both,small,75,0,1.828e3,827.5,2.988e3,846.0,350.2,1.454e3,896.0,346.8,1.579e3,0.9619047619047619,0.8095238095238095,0.9809523809523809,101.0,85.0,103.0,0.9142857142857143,0.7523809523809524,0.9809523809523809,96.0,79.0,103.0,0.8857142857142857,0.7238095238095238,0.9714285714285714,93.0,76.0,102.0
Kisumu,Both,small,100,0,147.5,99.75,217.0,70.0,41.0,113.0,67.0,39.0,115.0,0.22857142857142856,0.1619047619047619,0.3047619047619048,24.0,17.0,32.0,0.2,0.13333333333333333,0.26666666666666666,21.0,14.0,28.0,0.14285714285714285,0.09523809523809523,0.23809523809523808,15.0,10.0,25.0
Ukunda,Both,small,100,0,1.094e3,331.5,2.106e3,525.0,135.0,1.04e3,495.5,108.25,1.063e3,0.8666666666666667,0.5904761904761905,0.9809523809523809,91.0,62.0,103.0,0.819047619047619,0.49523809523809526,0.9714285714285714,86.0,52.0,102.0,0.7523809523809524,0.41904761904761906,0.9714285714285714,79.0,44.0,102.0
Kisumu,Household,both,25,0,463.5,256.8,971.0,172.0,85.0,392.2,255.0,128.8,583.5,0.6476190476190476,0.38095238095238093,0.9809523809523809,68.0,40.0,103.0,0.5428571428571428,0.2761904761904762,0.9714285714285714,57.0,29.0,102.0,0.580952380952381,0.3047619047619048,0.9809523809523809,61.0,32.0,103.0
Ukunda,Household,both,25,0,3.352e3,1.961e3,4.816e3,1.374e3,764.0,2.098e3,1.872e3,1.042e3,2.792e3,0.9809523809523809,0.9047619047619048,0.9809523809523809,103.0,95.0,103.0,0.9714285714285714,0.8476190476190476,0.9809523809523809,102.0,89.0,103.0,0.9619047619047619,0.8285714285714286,0.9714285714285714,101.0,87.0,102.0
Kisumu,Household,both,50,0,328.5,196.0,633.0,111.5,57.75,224.5,200.5,106.75,408.5,0.45714285714285713,0.3142857142857143,0.780952380952381,48.0,33.0,82.0,0.34285714285714286,0.21904761904761905,0.6666666666666666,36.0,23.0,70.0,0.3904761904761905,0.2571428571428571,0.7142857142857143,41.0,27.0,75.0
Ukunda,Household,both,50,0,2.532e3,1.333e3,3.844e3,940.5,449.8,1.536e3,1.49e3,726.0,2.372e3,0.9809523809523809,0.8952380952380953,0.9809523809523809,103.0,94.0,103.0,0.9714285714285714,0.8285714285714286,0.9809523809523809,102.0,87.0,103.0,0.9619047619047619,0.819047619047619,0.9714285714285714,101.0,86.0,102.0
Kisumu,Household,both,75,0,234.5,145.0,364.2,58.0,29.0,109.5,158.0,92.75,265.5,0.3238095238095238,0.23809523809523808,0.45714285714285713,34.0,25.0,48.0,0.20952380952380953,0.13333333333333333,0.3238095238095238,22.0,14.0,34.0,0.29523809523809524,0.20952380952380953,0.42857142857142855,31.0,22.0,45.0
Ukunda,Household,both,75,0,782.0,162.5,1.951e3,210.5,39.0,621.0,488.0,76.25,1.318e3,0.8285714285714286,0.37142857142857144,0.9809523809523809,87.0,39.0,103.0,0.7523809523809524,0.20952380952380953,0.9238095238095239,79.0,22.0,97.0,0.780952380952381,0.29523809523809524,0.9714285714285714,82.0,31.0,102.0
Kisumu,Household,both,100,0,59.5,39.0,83.25,21.0,14.0,33.0,36.0,20.0,51.25,0.11428571428571428,0.08571428571428572,0.13333333333333333,12.0,9.0,14.0,0.06666666666666667,0.047619047619047616,0.08571428571428572,7.0,5.0,9.0,0.10476190476190476,0.08571428571428572,0.13333333333333333,11.0,9.0,14.0
Ukunda,Household,both,100,0,31.0,17.0,48.0,25.0,16.0,38.0,0.0,0.0,10.0,0.08571428571428572,0.05714285714285714,0.10476190476190476,9.0,6.0,11.0,0.06666666666666667,0.05714285714285714,0.08571428571428572,7.0,6.0,9.0,0.0,0.0,0.06666666666666667,0.0,0.0,7.0
Kisumu,Household,big,25,0,522.0,267.5,1.102e3,198.5,93.0,464.8,273.0,132.8,641.0,0.7142857142857143,0.37142857142857144,0.9809523809523809,75.0,39.0,103.0,0.6476190476190476,0.3047619047619048,0.9809523809523809,68.0,32.0,103.0,0.6285714285714286,0.3142857142857143,0.9809523809523809,66.0,33.0,103.0
Ukunda,Household,big,25,0,3.384e3,2.027e3,4.904e3,1.408e3,795.0,2.13e3,1.889e3,1.072e3,2.824e3,0.9809523809523809,0.9238095238095239,0.9809523809523809,103.0,97.0,103.0,0.9714285714285714,0.8476190476190476,0.9809523809523809,102.0,89.0,103.0,0.9619047619047619,0.8380952380952381,0.9714285714285714,101.0,88.0,102.0
Kisumu,Household,big,50,0,419.5,239.8,864.5,157.5,79.75,355.8,229.5,122.5,500.2,0.6,0.34285714285714286,0.9714285714285714,63.0,36.0,102.0,0.47619047619047616,0.2571428571428571,0.8666666666666667,50.0,27.0,91.0,0.4857142857142857,0.2857142857142857,0.8285714285714286,51.0,30.0,87.0
Ukunda,Household,big,50,0,2.886e3,1.506e3,4.348e3,1.127e3,531.5,1.8e3,1.661e3,822.0,2.608e3,0.9809523809523809,0.8857142857142857,0.9809523809523809,103.0,93.0,103.0,0.9619047619047619,0.8285714285714286,0.9809523809523809,101.0,87.0,103.0,0.9619047619047619,0.819047619047619,0.9714285714285714,101.0,86.0,102.0
Kisumu,Household,big,75,0,370.0,225.5,743.0,126.5,68.0,276.2,219.0,120.5,466.5,0.5047619047619047,0.34285714285714286,0.8666666666666667,53.0,36.0,91.0,0.4,0.22857142857142856,0.7523809523809524,42.0,24.0,79.0,0.4380952380952381,0.2857142857142857,0.780952380952381,46.0,30.0,82.0
Ukunda,Household,big,75,0,1.574e3,315.5,2.872e3,532.5,90.25,1.056e3,943.5,132.2,1.829e3,0.9714285714285714,0.6476190476190476,0.9809523809523809,102.0,68.0,103.0,0.8857142857142857,0.45714285714285713,0.9809523809523809,93.0,48.0,103.0,0.9142857142857143,0.5142857142857142,0.9714285714285714,96.0,54.0,102.0
Kisumu,Household,big,100,0,272.5,168.2,459.0,83.5,47.0,156.0,167.5,94.5,308.0,0.37142857142857144,0.26666666666666666,0.638095238095238,39.0,28.0,67.0,0.26666666666666666,0.18095238095238095,0.49523809523809526,28.0,19.0,52.0,0.3142857142857143,0.22857142857142856,0.580952380952381,33.0,24.0,61.0
Ukunda,Household,big,100,0,232.5,81.25,831.0,63.0,23.0,209.8,138.0,31.0,591.0,0.4,0.21904761904761905,0.8095238095238095,42.0,23.0,85.0,0.2761904761904762,0.09523809523809523,0.7238095238095238,29.0,10.0,76.0,0.34285714285714286,0.14285714285714285,0.7714285714285715,36.0,15.0,81.0
Kisumu,Household,small,25,0,534.5,277.2,1.119e3,205.0,100.0,471.2,286.5,135.8,647.0,0.7333333333333333,0.4095238095238095,0.9809523809523809,77.0,43.0,103.0,0.6571428571428571,0.3047619047619048,0.9809523809523809,69.0,32.0,103.0,0.6571428571428571,0.3238095238095238,0.9809523809523809,69.0,34.0,103.0
Ukunda,Household,small,25,0,3.704e3,2.364e3,5.23e3,1.582e3,949.0,2.334e3,2.036e3,1.246e3,2.98e3,0.9809523809523809,0.9142857142857143,0.9809523809523809,103.0,96.0,103.0,0.9619047619047619,0.8476190476190476,0.9809523809523809,101.0,89.0,103.0,0.9619047619047619,0.8380952380952381,0.9714285714285714,101.0,88.0,102.0
Kisumu,Household,small,50,0,443.0,250.8,910.5,165.0,84.0,362.2,243.0,128.8,537.0,0.6190476190476191,0.37142857142857144,0.9809523809523809,65.0,39.0,103.0,0.49523809523809526,0.2857142857142857,0.8476190476190476,52.0,30.0,89.0,0.49523809523809526,0.3047619047619048,0.8761904761904762,52.0,32.0,92.0
