City,Environment,Container,Percentage,Day,Cases,caseslow95,casesup95,Household,HH_low95,HH_up95,Non_Household,NH_low95,NH_up95,pweeks_cases,pwk_low95,pwk_up95,weeks_cases,wk_low95,wk_up95,pweeks_HHcases,pwk_HHlow95,pwk_HHup95,weeks_HHcases,wk_HHlow95,wk_HHup95,pweeks_NHcases,pwk_NHlow95,pwk_NHup95,weeks_NHcases,wk_NHlow95,wk_NHup95
Kisumu,Both,big,25,1,526.5,291.2,1.059e3,211.0,104.0,440.2,281.5,137.5,619.0,0.7238095238095238,0.42857142857142855,1.0,76.0,45.0,105.0,0.638095238095238,0.3238095238095238,1.0,67.0,34.0,105.0,0.6476190476190476,0.3333333333333333,1.0,68.0,35.0,105.0
Ukunda,Both,big,25,1,2.9e3,1.785e3,4.2e3,1.281e3,731.0,1.936e3,1.548e3,891.0,2.344e3,1.0,0.9047619047619048,1.0,105.0,95.0,105.0,0.9809523809523809,0.8380952380952381,1.0,103.0,88.0,105.0,0.9619047619047619,0.8476190476190476,0.9904761904761905,101.0,89.0,104.0
Kisumu,Both,big,25,50,535.0,306.5,1.084e3,220.0,112.75,459.0,287.0,146.8,630.0,0.6761904761904762,0.41904761904761906,1.0,71.0,44.0,105.0,0.6095238095238096,0.3333333333333333,1.0,64.0,35.0,105.0,0.6285714285714286,0.3333333333333333,1.0,66.0,35.0,105.0
Ukunda,Both,big,25,50,2.884e3,1.745e3,4.27e3,1.277e3,724.0,1.962e3,1.542e3,871.0,2.384e3,0.9809523809523809,0.8666666666666667,1.0,103.0,91.0,105.0,0.9238095238095239,0.819047619047619,1.0,97.0,86.0,105.0,0.9333333333333333,0.8095238095238095,0.9904761904761905,98.0,85.0,104.0
Kisumu,Both,big,25,100,587.5,319.5,1.209e3,243.5,117.25,518.0,313.5,147.8,694.5,0.7333333333333333,0.4380952380952381,1.0,77.0,46.0,105.0,0.6571428571428571,0.34285714285714286,1.0,69.0,36.0,105.0,0.6761904761904762,0.3523809523809524,1.0,71.0,37.0,105.0
Ukunda,Both,big,25,100,3.092e3,1.958e3,4.468e3,1.357e3,818.5,2.033e3,1.662e3,991.0,2.516e3,0.9809523809523809,0.8571428571428571,1.0,103.0,90.0,105.0,0.9142857142857143,0.819047619047619,1.0,96.0,86.0,105.0,0.9142857142857143,0.8095238095238095,0.9904761904761905,96.0,85.0,104.0
Kisumu,Both,big,25,250,635.5,325.2,1.273e3,257.5,123.5,549.0,331.5,148.0,738.0,0.7714285714285715,0.4380952380952381,1.0,81.0,46.0,105.0,0.6952380952380952,0.37142857142857144,1.0,73.0,39.0,105.0,0.6857142857142857,0.34285714285714286,1.0,72.0,36.0,105.0
Ukunda,Both,big,25,250,3.398e3,2.22e3,4.776e3,1.486e3,916.0,2.162e3,1.847e3,1.137e3,2.69e3,0.9619047619047619,0.8571428571428571,1.0,101.0,90.0,105.0,0.9047619047619048,0.8,1.0,95.0,84.0,105.0,0.9142857142857143,0.8095238095238095,0.9904761904761905,96.0,85.0,104.0
Kisumu,Both,big,50,1,402.0,242.8,742.5,152.5,83.75,306.0,223.5,120.0,442.2,0.5333333333333333,0.3523809523809524,0.8285714285714286,56.0,37.0,87.0,0.4095238095238095,0.2761904761904762,0.7619047619047619,43.0,29.0,80.0,0.4380952380952381,0.29523809523809524,0.7619047619047619,46.0,31.0,80.0
Ukunda,Both,big,50,1,1.432e3,504.5,2.572e3,617.5,200.0,1.176e3,728.0,215.5,1.426e3,0.9428571428571428,0.6761904761904762,1.0,99.0,71.0,105.0,0.8666666666666667,0.638095238095238,1.0,91.0,67.0,105.0,0.8666666666666667,0.638095238095238,0.9904761904761905,91.0,67.0,104.0
Kisumu,Both,big,50,50,478.5,279.8,916.0,187.5,100.0,378.5,259.5,137.0,543.0,0.580952380952381,0.3619047619047619,0.8952380952380953,61.0,38.0,94.0,0.47619047619047616,0.29523809523809524,0.8095238095238095,50.0,31.0,85.0,0.4857142857142857,0.3142857142857143,0.8285714285714286,51.0,33.0,87.0
Ukunda,Both,big,50,50,1.816e3,939.0,2.924e3,798.5,375.2,1.349e3,948.0,446.5,1.62e3,0.9238095238095239,0.780952380952381,1.0,97.0,82.0,105.0,0.8666666666666667,0.7238095238095238,1.0,91.0,76.0,105.0,0.8476190476190476,0.7333333333333333,0.9904761904761905,89.0,77.0,104.0
Kisumu,Both,big,50,100,513.5,312.5,954.5,210.0,114.75,402.2,273.0,147.0,550.5,0.6285714285714286,0.4,0.9333333333333333,66.0,42.0,98.0,0.5142857142857142,0.3142857142857143,0.8095238095238095,54.0,33.0,85.0,0.4857142857142857,0.3238095238095238,0.819047619047619,51.0,34.0,86.0
Ukunda,Both,big,50,100,2.264e3,1.366e3,3.34e3,993.5,560.0,1.527e3,1.207e3,670.0,1.861e3,0.8952380952380953,0.7904761904761904,1.0,94.0,83.0,105.0,0.8380952380952381,0.7333333333333333,0.9714285714285714,88.0,77.0,102.0,0.8285714285714286,0.7238095238095238,0.9904761904761905,87.0,76.0,104.0
Kisumu,Both,big,50,250,597.0,337.5,1.053e3,236.5,122.0,464.0,315.5,155.2,604.0,0.7142857142857143,0.45714285714285713,1.0,75.0,48.0,105.0,0.6285714285714286,0.3523809523809524,0.9142857142857143,66.0,37.0,96.0,0.6476190476190476,0.3619047619047619,0.8857142857142857,68.0,38.0,93.0
Ukunda,Both,big,50,250,2.864e3,1.817e3,4.108e3,1.254e3,766.5,1.863e3,1.537e3,910.0,2.32e3,0.8952380952380953,0.7904761904761904,1.0,94.0,83.0,105.0,0.8380952380952381,0.7523809523809524,0.9714285714285714,88.0,79.0,102.0,0.8380952380952381,0.7523809523809524,0.9809523809523809,88.0,79.0,103.0
Kisumu,Both,big,75,1,298.0,193.0,494.5,110.0,59.75,199.2,170.0,96.5,294.8,0.4,0.29523809523809524,0.638095238095238,42.0,31.0,67.0,0.3142857142857143,0.22857142857142856,0.5523809523809524,33.0,24.0,58.0,0.3238095238095238,0.23809523809523808,0.5142857142857142,34.0,25.0,54.0
Ukunda,Both,big,75,1,394.5,166.8,917.5,165.5,64.75,403.5,186.0,60.75,503.2,0.49523809523809526,0.29523809523809524,0.780952380952381,52.0,31.0,82.0,0.42857142857142855,0.23809523809523808,0.7428571428571429,45.0,25.0,78.0,0.41904761904761906,0.23809523809523808,0.7333333333333333,44.0,25.0,77.0
Kisumu,Both,big,75,50,414.5,258.5,710.5,157.0,91.75,284.5,232.0,129.8,421.8,0.4666666666666667,0.3333333333333333,0.7428571428571429,49.0,35.0,78.0,0.3523809523809524,0.2571428571428571,0.6666666666666666,37.0,27.0,70.0,0.4,0.2761904761904762,0.6761904761904762,42.0,29.0,71.0
Ukunda,Both,big,75,50,895.5,497.0,1.568e3,382.5,192.5,707.0,466.0,235.2,884.5,0.6571428571428571,0.4666666666666667,0.8666666666666667,69.0,49.0,91.0,0.5904761904761905,0.4095238095238095,0.8,62.0,43.0,84.0,0.6,0.3904761904761905,0.8,63.0,41.0,84.0
Kisumu,Both,big,75,100,443.5,279.8,707.0,179.5,103.75,299.2,240.5,135.0,414.8,0.4857142857142857,0.34285714285714286,0.6761904761904762,51.0,36.0,71.0,0.4095238095238095,0.29523809523809524,0.6190476190476191,43.0,31.0,65.0,0.4095238095238095,0.29523809523809524,0.638095238095238,43.0,31.0,67.0
Ukunda,Both,big,75,100,1.326e3,749.0,2.078e3,574.5,308.5,942.0,701.5,366.0,1.164e3,0.7047619047619048,0.5523809523809524,0.8571428571428571,74.0,58.0,90.0,0.6571428571428571,0.47619047619047616,0.780952380952381,69.0,50.0,82.0,0.6571428571428571,0.4666666666666667,0.7904761904761904,69.0,49.0,83.0
Kisumu,Both,big,75,250,599.5,338.8,1.0165e3,241.0,126.0,436.5,319.0,155.8,593.5,0.6857142857142857,0.45714285714285713,0.8857142857142857,72.0,48.0,93.0,0.6190476190476191,0.3619047619047619,0.7904761904761904,65.0,38.0,83.0,0.6476190476190476,0.37142857142857144,0.8,68.0,39.0,84.0
Ukunda,Both,big,75,250,2.436e3,1.565e3,3.46e3,1.075e3,655.0,1.571e3,1.307e3,780.0,1.926e3,0.8,0.7238095238095238,0.8952380952380953,84.0,76.0,94.0,0.7523809523809524,0.6571428571428571,0.8380952380952381,79.0,69.0,88.0,0.7523809523809524,0.6761904761904762,0.8285714285714286,79.0,71.0,87.0
